"HDI Rank","Country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","2071.3","1740.8","1645.8","1145.0","831.5","1179.7","1072.3","985.7","916.6","848.3","774.9","701.5","1103.5","1140.9","1121.7","1187.6","1261.5","1557.3","1420.0","1623.2","1629.8","1720.5","1850.2","1912.5","1895.2","1870.8"
"75"," Albania","4213.7","2984.2","2737.7","3146.3","3503.6","4074.8","4481.9","3994.2","4370.3","4911.7","5262.0","5686.1","5890.0","6256.6","6616.2","7021.7","7546.3","8087.1","8627.1","8844.3","9282.8","9613.5","9722.2","9931.9","10006.9","10252.5"
"83"," Algeria","9895.4","9404.4","9388.9","9083.1","8774.5","8825.4","9071.1","9041.0","9400.3","9515.2","9776.3","10081.0","10408.7","11046.4","11313.9","11778.9","11890.5","12420.3","12589.3","12561.1","12875.3","12903.3","13060.4","13070.0","13269.9","13533.0"
"32"," Andorra","41332.1","40766.8","39587.9","37831.4","37680.5","38024.0","39521.6","43202.0","44763.0","46399.6","46051.9","49671.5","50164.4","50876.6","52784.0","54740.4","55947.4","55274.9","49544.8","46252.3","43357.3","42540.0","43854.4","45076.6","47645.9 o","47979.5 o"
"150"," Angola","4358.8","4177.2","3765.3","2743.2","2749.0","2943.2","3179.7","3337.1","3467.3","3478.1","3474.2","3503.5","3149.7","3199.4","3423.6","3909.3","4559.8","5402.9","5945.3","5887.7","5887.5","5916.8","6018.0","6219.0","6308.1","6290.9"
"62"," Antigua and Barbuda","15620.2","16492.9","16568.7","17423.5","18062.9","16802.4","16956.6","18175.5","18611.5","18796.1","18221.5","17799.0","17711.0","18665.0","19371.9","20511.6","23027.4","24945.3","24569.0","21445.8","19997.0","19289.7","19705.4","19772.9","20421.4","20907.2"
"45"," Argentina","10605.3","11711.3","12902.7","13718.6","14306.9","13674.2","14226.0","15186.4","15537.3","14821.1","14538.3","13712.7","11543.8","12570.5","13602.3","14975.5","16218.9","17425.0","17766.5","17503.4","18944.6","20366.0","20341.0","20781.0","20663.9","20945.1 sss"
"84"," Armenia","3687.6","3279.6","1940.3","1812.3","1954.8","2130.9","2298.7","2401.6","2575.5","2672.1","2835.8","3157.8","3635.3","4134.9","4773.4","5439.4","6223.5","7088.7","7689.6","6486.4","6837.9","7045.0","7551.7","7818.1","8044.9","8189.1"
"2"," Australia","27836.4","27603.0","28730.5","29679.8","30102.0","30942.5","31881.7","33015.5","34312.1","35357.0","35687.0","36714.0","37406.7","38512.6","38904.4","39421.8","40011.9","40921.0","41113.6","40981.3","39819.5","40085.5","41255.2","41805.8","42160.2","42822.2"
"24"," Austria","31099.9","31800.2","32327.9","32254.9","32759.6","33272.4","34121.9","34689.6","35813.9","36925.5","38043.4","38305.0","39096.5","39310.7","40188.5","40790.8","42228.5","43385.9","44304.9","42151.3","43326.7","44171.5","44199.6","44164.8","43545.0","43608.8"
