country,unit,population,expected_schooling,mean_schooling,life_expectancy,gni,hdi,purehdi,po,weight_tk,chob,div,is_poor
 Singapore,1,5.6,15.4,11.6,83.2,78162.3,0.925,0.8876080722184793,0,,,1.0,False
 Norway,1,5.2,17.7,12.7,81.7,67614.4,0.949,0.9282352536733081,0,,,1.0,False
 Switzerland,1,8.3,16.0,13.4,83.1,56364.0,0.939,0.9306333495918514,0,,,1.0,False
 Australia,1,24.0,20.4,13.2,82.5,42822.2,0.939,0.9769149407075965,0,,,1.0,False
 Denmark,1,5.7,19.2,12.7,80.4,44518.9,0.925,0.9368188189618195,0,,,1.0,False
 Qatar,1,2.2,13.4,9.8,78.3,129915.6,0.856,0.7890228205340282,0,,,1.0,False
 Iceland,1,0.3,19.0,12.2,82.7,37065.2,0.921,0.9425094712864044,1,,,0.9591836734693877,False
 New Zealand,1,4.5,19.2,12.5,82.0,32870.1,0.915,0.9453886545998422,1,,,0.9375,False
 Liechtenstein,1,0.0,14.6,12.4,80.2,75064.8,0.912,0.8717435067903923,1,,,0.9259259259259259,False
 Netherlands,1,16.9,18.1,11.9,81.7,46325.6,0.924,0.9179278965862773,2,,,0.9,False
 Kuwait,1,3.9,13.3,7.3,74.5,76075.2,0.8,0.7083141483212132,2,,,0.884297520661157,False
 Germany,1,80.7,17.1,13.2,81.1,44999.6,0.926,0.9257189977861315,2,,,0.875,False
" Hong Kong, China (SAR)",1,7.3,15.7,11.6,84.2,54264.9,0.917,0.8986525936619558,2,,,0.8698224852071006,False
 Brunei Darussalam,1,0.4,14.9,9.0,79.0,72843.5,0.865,0.7976889837647047,2,,,0.8673469387755102,False
 United States,1,321.8,16.5,13.2,79.2,53245.1,0.92,0.9038327400219418,2,,,0.8666666666666667,False
 Ireland,1,4.7,18.6,12.3,81.1,43798.0,0.923,0.9273334471550496,3,,,0.859375,False
 Sweden,1,9.8,16.1,12.3,82.3,46250.8,0.913,0.9044928802306182,3,,,0.8546712802768166,False
 Luxembourg,1,0.6,13.9,12.0,81.9,62470.6,0.898,0.866512890423934,3,,,0.8518518518518519,False
 United Arab Emirates,1,9.2,13.3,9.5,77.1,66203.3,0.84,0.7731469363178387,5,,,0.8393351800554016,False
 Canada,1,35.9,16.3,13.1,82.2,42581.9,0.92,0.9219814877768188,6,,,0.825,False
 Andorra,1,0.1,13.5,10.3,81.5,47979.5,0.858,0.8226173868604557,7,,,0.8095238095238095,False
 Saudi Arabia,1,31.5,16.1,9.6,74.4,51320.1,0.847,0.7937567330383921,8,,,0.7933884297520661,False
 United Kingdom,1,64.7,16.3,13.3,80.8,37930.8,0.91,0.915367352964746,8,,,0.780718336483932,False
 Japan,1,126.6,15.3,12.5,83.7,37268.0,0.903,0.9080691340634842,9,,,0.7673611111111112,False
 Austria,1,8.5,15.9,11.3,81.6,43608.8,0.893,0.8768739641151786,10,,,0.7536,False
 Israel,1,8.1,16.0,12.8,82.6,31214.7,0.899,0.9152345396801488,11,,,0.7396449704142012,False
 France,1,64.4,16.3,11.6,82.4,38085.4,0.897,0.8938969738311051,11,,,0.7283950617283951,False
 Korea (Republic of),1,50.3,16.6,12.2,82.1,34540.6,0.901,0.9075374919626682,11,,,0.7193877551020409,False
 Belgium,1,11.3,16.6,11.4,81.0,41243.3,0.896,0.8837541308358272,12,,,0.7098692033293699,False
 Finland,1,5.5,17.0,11.2,81.0,38868.1,0.895,0.8849963405408869,12,,,0.7022222222222223,False
 Slovenia,1,2.1,17.3,12.1,80.6,28664.2,0.89,0.9034637279040477,16,,,0.6878251821019772,False
 Italy,1,59.8,16.3,10.9,83.3,33573.0,0.887,0.8860814326352997,17,,,0.673828125,False
 Czech Republic,1,10.5,16.8,12.3,78.8,28144.0,0.878,0.8875058558425357,20,,,0.6565656565656566,False
 Spain,1,46.1,17.7,9.8,82.8,32778.5,0.884,0.878883003953895,21,,,0.6401384083044983,False
 Bahrain,1,1.4,14.5,9.4,76.7,37236.4,0.824,0.7848375503342516,24,,,0.6212244897959184,False
 Greece,1,11.0,17.2,10.5,81.1,24807.5,0.866,0.8743901256838813,26,,,0.6018518518518519,False
 Cyprus,1,1.2,14.3,11.7,80.3,29458.5,0.856,0.8544864298650561,26,,,0.5850986121256392,False
 Estonia,1,1.3,16.5,12.5,77.0,26361.9,0.865,0.8738710649813601,26,,,0.5706371191135734,False
 Malta,1,0.4,14.6,11.3,80.7,29499.6,0.856,0.8531816935880068,26,,,0.5581854043392505,False
 Oman,1,4.5,13.7,8.1,77.0,34402.3,0.796,0.7479954527078093,28,,,0.5449999999999999,False
 Poland,1,38.6,16.4,11.9,77.6,24117.0,0.855,0.865839393345295,30,,,0.5312314098750743,False
 Slovakia,1,5.4,15.0,12.2,76.4,26763.6,0.845,0.8449844876438557,30,,,0.5192743764172336,False
 Chile,1,17.9,16.3,9.9,82.0,21665.5,0.847,0.8564020705411334,31,,,0.5078420767982693,False
 Lithuania,1,2.9,16.5,12.7,73.5,26006.5,0.848,0.8502365404092712,31,,,0.4979338842975206,True
 Portugal,1,10.3,16.6,8.9,81.2,26103.6,0.843,0.8341175032241231,32,,,0.4883950617283951,True
 Hungary,1,9.9,15.6,12.0,75.3,23394.3,0.836,0.8403782269074724,35,,,0.4773156899810964,True
 Cuba,1,11.4,13.9,11.8,79.6,7455.1,0.775,0.8462286743642726,35,,,0.46763241285649615,True
 Trinidad and Tobago,1,1.4,12.7,10.9,70.5,28049.1,0.78,0.7468759741501279,37,,,0.4574652777777778,True
 Croatia,1,4.2,15.3,11.2,77.5,20291.3,0.827,0.8375086750069074,37,,,0.44856309870887134,True
 Latvia,1,2.0,16.0,11.7,74.3,22589.2,0.83,0.8320476563827727,37,,,0.44079999999999997,True
 Russian Federation,1,143.5,15.0,12.0,70.3,23286.1,0.804,0.7943554244071103,39,,,0.4325259515570934,True
 Argentina,1,43.4,17.3,9.8,76.5,20945.1,0.827,0.8285070502864339,39,,,0.4252958579881657,True
 Montenegro,1,0.6,15.1,11.3,76.4,15409.6,0.807,0.8288465240384474,40,,,0.41829832680669277,True
 Malaysia,1,30.3,13.1,10.1,74.9,24619.7,0.789,0.7677853391459728,41,,,0.411522633744856,True
 Bulgaria,1,7.2,15.0,10.8,74.3,16261.3,0.794,0.8023554252359013,42,,,0.4049586776859504,True
 Romania,1,19.5,14.7,10.8,74.8,19427.6,0.802,0.80218643273926,42,,,0.39923469387755106,True
 Belarus,1,9.5,15.7,12.0,71.5,15629.4,0.796,0.8121870138310002,42,,,0.394275161588181,True
 Seychelles,1,0.1,14.1,9.4,73.3,23886.1,0.782,0.7556416433996236,43,,,0.38941736028537455,True
 Georgia,1,4.0,13.9,12.2,75.0,8855.8,0.769,0.820647572918204,43,,,0.3852341281241023,True
